2	Why can’t I sleep at night?	1
3	What’s that smell?	1
4	I got 99 problems but ______ ain’t one.	1
5	Maybe she’s born with it. Maybe it’s ______.	1
6	What’s the next Happy Meal® toy?	1
7	Here is the church Here is the steeple Open the doors And there is ______.	1
8	It’s a pity that kids these days are all getting involved with.	1
9	Today on Maury: “Help! My son is ______.	1
10	Alternative medicine is now embracing the curative powers of ______.	1
11	And the Academy Award for ______ goes to ______.	2
12	What’s that sound?	1
13	What ended my last relationship?	1
14	MTV’s new reality show features eight washed-up celebrities living with ______.	1
16	I’m sorry, Professor, but I couldn’t complete my homework because of ______.	1
17	What is Batman’s guilty pleasure?	1
19	That's the way the world ends \ This is the way the world ends \ Not with a bang but with ______.	1
21	TSA guidelines now prohibit on airplanes.	1
25	In the new Disney Channel Original Movie, Hannah Montana struggles with ______ for the first time.	1
26	______ is a slippery slope that leads to ______.	2
27	I get by with a little help from ______.	1
28	Dear Abby, I’m having some trouble with ______ and would like your advice.	1
29	Instead of coal, Santa now gives the bad children ______.	1
31	In 1,000 years, when paper money is a distant memory, how will we pay for goods and services?	1
32	Introducing the amazing superhero/sidekick duo! lt’s ______ and ______!	2
33	In M. Night Shyamalan’s new movie, Bruce Willis discovers that ______ had really been ______ all along.	2
34	A romantic, candlelit dinner would be incomplete without ______.	1
35	Betcha can’t have just one!	1
37	______. High five, bro.	1
38	Next from J.K. Rowling: Harry Potter and the Chamber of ______.	1
39	Introducing Xtreme Baseball! lt’s like baseball, but with ______!	1
40	In a world ravaged by ______ our only solace is ______.	2
41	War! What is it good for?	1
44	What are my parents hiding from me?	1
48	What don’t you want to find in your Kung Pao chicken?	1
49	What will I bring back in time to convince people that I am a powerful wizard?	1
50	How am I maintaining my relationship status?	1
52	Coming to Broadway this season, ______: The Musical.	1
55	Next on ESPN2, the World Series of ______.	1
56	Step 1: ______. Step 2: ______. Step 3: Profit.	2
57	They said we were crazy. They said we couldn’t put ______ inside of ______. They were wrong.	2
58	But before I kill you, Mr. Bond, I must show you ______.	1
60	The new Chevy Tahoe. With the power and space to take ______ everywhere you go.	1
61	The class field trip was completely ruined by ______.	1
62	When Pharaoh remained unmoved, Moses called down a Plague of ______.	1
63	What’s my secret power?	1
65	What’s there a ton of in heaven?	1
67	I never truly understood ______ until I encountered ______.	2
70	What did Vin Diesel eat for dinner?	1
73	What gets better with age?	1
74	______: kid-tested, mother-approved.	1
76	What’s Teach for America using to inspire inner city students to succeed?	1
80	I do not know with what weapons World War III will be fought, but World War IV will be fought with ______.	1
82	What am I giving up for Lent?	1
84	The Smithsonian Museum of Natural History has just opened an interactive exhibit on ______.	1
86	When I am President of the United States, I will create the Department of ______.	1
87	When I am a billionaire, I shall erect a 50-foot statue to commemorate ______.	1
91	______+______=______.	2
92	What never fails to liven up the party?	1
93	What’s the new fad diet?	1
